                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4132,                 4.1223,                 1.5269,                0.00399,                0.32554,                0.02528,                0.00768,                 1.1057,                 3.9483,                 1.2966,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 1.0997,                 3.5445,                  1.214,                0.00568,                0.42004,                0.16226,                 0.0809,                0.91159,                  3.706,                 1.0369,             0.00015714,             0.00015714,             0.00015714
                      3,                  1.107,                 2.5704,                 1.1654,                0.00967,                0.52328,                0.21176,                 0.1396,                 0.9629,                 3.4051,                 1.0446,              0.0002335,              0.0002335,              0.0002335
                      4,                 1.0666,                 2.0331,                 1.1263,                0.93175,                0.04618,                 0.2972,                0.18513,                 1.0243,                 3.1552,                 1.0433,             0.00030409,             0.00030409,             0.00030409
                      5,                 1.0265,                 1.8474,                 1.0761,                0.90005,                0.10082,                 0.2783,                0.19853,                 1.0093,                 2.9658,                 1.0141,              0.0003689,              0.0003689,              0.0003689
                      6,                 1.0282,                 1.6831,                 1.0421,                0.75229,                0.16604,                0.36354,                 0.2721,                 1.0182,                 2.7931,                0.99018,             0.00042794,             0.00042794,             0.00042794
                      7,                0.98325,                 1.5008,                 1.0407,                0.97204,                0.26152,                0.44457,                0.32276,                0.98457,                 2.7568,                0.99471,              0.0004812,              0.0004812,              0.0004812
                      8,                  1.008,                 1.4161,                 1.0367,                0.91079,                0.23769,                0.44714,                0.31519,                 1.0035,                 2.6787,                0.99937,             0.00052869,             0.00052869,             0.00052869
                      9,                 1.0142,                  1.372,                 1.0605,                0.87679,                0.27481,                0.47382,                0.34214,                 1.0074,                 2.4174,                0.97432,              0.0005704,              0.0005704,              0.0005704
                     10,                 0.9607,                 1.2843,                 1.0125,                0.90858,                0.34964,                0.52496,                0.36579,                0.94703,                 2.3626,                0.96055,             0.00060634,             0.00060634,             0.00060634
                     11,                0.87555,                 1.1764,                0.99953,                0.82877,                0.40184,                0.55633,                0.39428,                0.95348,                 2.1876,                0.95873,              0.0006365,              0.0006365,              0.0006365
                     12,                0.91746,                 1.2037,                 1.0216,                0.80401,                0.39817,                0.65089,                0.47667,                0.93571,                 2.1091,                0.96748,             0.00066089,             0.00066089,             0.00066089
                     13,                0.92529,                 1.1482,                 1.0274,                0.78831,                0.41104,                0.66253,                0.47592,                0.95399,                 2.1104,                 0.9898,              0.0006795,              0.0006795,              0.0006795
                     14,                0.92117,                 1.1526,                 1.0264,                0.76171,                0.57674,                0.74005,                0.48233,                0.96375,                 1.8355,                0.99583,             0.00069234,             0.00069234,             0.00069234
                     15,                0.89826,                 1.0984,                 1.0142,                0.79507,                0.64148,                0.78976,                0.52287,                0.93677,                 1.7041,                 0.9952,              0.0006725,              0.0006725,              0.0006725
                     16,                0.86926,                 1.0599,                 1.0025,                0.75254,                0.70806,                0.81568,                0.54985,                0.89928,                  1.654,                0.98066,             0.00063125,             0.00063125,             0.00063125
                     17,                0.86418,                 1.0597,                0.98657,                0.76842,                0.74157,                0.83579,                0.56885,                 0.9129,                 1.5989,                0.97571,                0.00059,                0.00059,                0.00059
                     18,                0.84281,                 1.0035,                 1.0069,                0.81754,                 0.7739,                0.85905,                0.58769,                0.91168,                 1.5075,                0.96682,             0.00054875,             0.00054875,             0.00054875
                     19,                0.88649,                0.97245,                 1.0051,                0.80857,                0.78198,                0.90488,                 0.6501,                0.86209,                 1.2685,                0.93865,              0.0005075,              0.0005075,              0.0005075
                     20,                0.81767,                0.93939,                0.99176,                0.85206,                0.77447,                0.90101,                0.63533,                0.89387,                  1.126,                0.96225,             0.00046625,             0.00046625,             0.00046625
                     21,                0.81168,                 1.2485,                0.96944,                0.84322,                0.81177,                0.92029,                 0.6285,                0.87939,                 1.1544,                0.95663,               0.000425,               0.000425,               0.000425
                     22,                0.80947,                 1.1434,                0.96809,                0.92543,                0.78969,                0.90422,                0.60198,                0.93101,                 1.4431,                0.97166,             0.00038375,             0.00038375,             0.00038375
                     23,                0.80368,                 1.1423,                0.95121,                0.94796,                0.71649,                0.87362,                0.59509,                0.89564,                 1.2234,                0.96615,              0.0003425,              0.0003425,              0.0003425
                     24,                0.76156,                 1.0384,                 0.9361,                0.92371,                0.74204,                0.88308,                0.62021,                0.88032,                 1.0688,                0.97003,             0.00030125,             0.00030125,             0.00030125
                     25,                0.78183,                0.99465,                0.92225,                0.92932,                 0.7355,                0.88658,                0.63112,                 0.8568,                 1.0625,                 0.9603,                0.00026,                0.00026,                0.00026
                     26,                0.74453,                0.96537,                0.92843,                0.93308,                0.73391,                0.89228,                0.63753,                 0.8398,                 1.0652,                0.96039,             0.00021875,             0.00021875,             0.00021875
                     27,                0.70025,                 0.9656,                0.89404,                0.86706,                0.75723,                0.88674,                 0.6434,                0.83451,                 1.0443,                0.95362,              0.0001775,              0.0001775,              0.0001775
                     28,                0.72962,                0.97021,                0.90029,                0.86902,                0.74062,                0.88611,                0.64539,                0.83465,                 1.0156,                0.94438,             0.00013625,             0.00013625,             0.00013625
                     29,                0.68206,                0.93151,                0.91507,                0.88018,                0.72565,                0.88791,                0.64749,                0.83485,                 1.0009,                0.94312,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.69649,                0.93497,                0.89827,                0.87876,                0.72656,                0.88977,                0.64702,                0.82853,                0.98276,                 0.9394,              5.375e-05,              5.375e-05,              5.375e-05
