                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3967,                 3.9389,                 1.4365,                 0.0055,                0.63333,                0.04407,                0.01404,                0.99896,                 3.4324,                  1.169,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.0494,                 3.2007,                 1.1621,                0.00701,                0.81667,                0.23639,                0.15525,                0.78079,                 3.1239,                0.93995,             0.00020956,             0.00020956,             0.00020956
                      3,                0.94021,                 1.9442,                 1.0758,                0.00712,                  0.825,                0.29802,                0.21002,                0.86545,                 2.8827,                0.96908,              0.0003114,              0.0003114,              0.0003114
                      4,                0.94873,                 1.6021,                 1.0184,                0.00984,                  0.775,                0.32862,                 0.2147,                 0.9115,                 2.8612,                0.96897,             0.00040553,             0.00040553,             0.00040553
                      5,                0.86757,                 1.4499,                0.99077,                0.00768,                0.86667,                0.43115,                0.30792,                0.90836,                 2.8227,                0.99655,             0.00049197,             0.00049197,             0.00049197
                      6,                0.89411,                 1.3658,                0.98679,                      1,                0.05044,                0.33919,                0.22207,                0.96049,                 2.8796,                0.97814,              0.0005707,              0.0005707,              0.0005707
                      7,                0.84489,                 1.2187,                0.98589,                      1,                0.12491,                0.35905,                0.26474,                0.88611,                 2.7611,                0.94147,             0.00064173,             0.00064173,             0.00064173
                      8,                0.91353,                 1.2392,                 1.0109,                      1,                0.20209,                0.43605,                0.31493,                0.95505,                 2.6203,                0.93805,             0.00070506,             0.00070506,             0.00070506
                      9,                0.89446,                 1.1919,                0.99937,                0.68099,                0.25606,                0.56183,                0.40202,                0.96901,                 2.2411,                0.95715,             0.00076069,             0.00076069,             0.00076069
                     10,                0.81415,                 1.0561,                  0.961,                  0.612,                0.46427,                0.63017,                0.46973,                0.92627,                 1.8887,                0.98317,             0.00080861,             0.00080861,             0.00080861
                     11,                0.83029,                  1.088,                0.97868,                0.53287,                0.42453,                0.58828,                0.42314,                0.95268,                 1.9371,                 0.9709,             0.00084884,             0.00084884,             0.00084884
                     12,                0.80319,                 1.1157,                0.98388,                0.57596,                0.41271,                0.54851,                0.38928,                 1.0062,                 1.9056,                0.99824,             0.00088136,             0.00088136,             0.00088136
                     13,                0.87443,                 1.0917,                0.98166,                0.69998,                0.55417,                0.66289,                0.46108,                 1.0397,                 1.7244,                 1.0587,             0.00090618,             0.00090618,             0.00090618
                     14,                0.86586,                 1.1147,                0.98187,                 0.7713,                0.63526,                0.73837,                 0.5253,                0.96467,                 1.6102,                 1.0082,              0.0009233,              0.0009233,              0.0009233
                     15,                0.80924,                 1.0924,                 1.0128,                0.73713,                    0.6,                0.70351,                0.53247,                0.90709,                 1.6062,                0.93397,             0.00089685,             0.00089685,             0.00089685
                     16,                0.78257,                0.98114,                0.96784,                0.69372,                0.56667,                0.64304,                0.49549,                 0.8937,                 1.6682,                0.94076,             0.00084184,             0.00084184,             0.00084184
                     17,                0.75267,                 0.9494,                0.93639,                0.71639,                 0.5625,                0.66491,                0.51557,                0.85757,                 1.6341,                0.92419,             0.00078682,             0.00078682,             0.00078682
                     18,                0.74242,                0.91072,                0.94936,                0.77223,                0.67927,                0.75702,                0.58963,                0.78966,                 1.3411,                0.88958,             0.00073181,             0.00073181,             0.00073181
                     19,                0.71089,                0.89449,                  0.918,                0.87167,                0.75417,                0.85095,                0.63176,                0.75586,                 1.1472,                0.87843,              0.0006768,              0.0006768,              0.0006768
                     20,                0.71695,                0.87382,                0.91431,                0.92699,                0.77917,                 0.8511,                0.64868,                0.75757,                 1.0937,                0.87686,             0.00062179,             0.00062179,             0.00062179
                     21,                0.71345,                 1.1052,                0.88571,                0.89339,                0.73914,                0.82317,                0.64645,                0.77857,                 1.2012,                0.88676,             0.00056678,             0.00056678,             0.00056678
                     22,                0.67263,                 1.0937,                 0.8955,                0.87963,                0.68347,                0.79494,                0.62991,                0.80019,                 1.3024,                0.92437,             0.00051177,             0.00051177,             0.00051177
                     23,                0.64329,                 1.0225,                0.87428,                0.87026,                0.82077,                0.87439,                0.67433,                0.75297,                 0.8848,                0.91128,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.6201,                0.96219,                0.86486,                0.93435,                0.79626,                0.90863,                0.70607,                0.73681,                0.81319,                0.90644,             0.00040175,             0.00040175,             0.00040175
                     25,                  0.594,                0.93099,                0.84222,                0.84938,                0.85719,                0.89831,                0.70443,                0.74095,                0.82874,                 0.9103,             0.00034674,             0.00034674,             0.00034674
                     26,                0.61486,                0.93967,                0.85237,                0.84235,                0.86882,                0.89441,                0.68459,                0.74638,                0.86675,                0.89919,             0.00029172,             0.00029172,             0.00029172
                     27,                0.58531,                0.96453,                0.86692,                0.84658,                0.85634,                0.90275,                0.69592,                0.74017,                 0.8161,                 0.8876,             0.00023671,             0.00023671,             0.00023671
                     28,                0.60535,                0.91634,                0.85093,                0.86739,                0.85833,                0.91772,                0.71203,                 0.7245,                0.76039,                0.88472,              0.0001817,              0.0001817,              0.0001817
                     29,                0.57679,                0.89388,                0.84486,                0.87677,                0.84379,                0.92025,                0.71445,                0.71661,                0.73877,                 0.8833,             0.00012669,             0.00012669,             0.00012669
                     30,                0.56777,                0.83412,                0.83858,                0.83251,                0.89691,                0.92275,                  0.716,                0.70277,                0.72541,                0.88097,             7.1681e-05,             7.1681e-05,             7.1681e-05
